symbol,stage,error
BNXUSDTSETTLED,klines:missing,data/futures/um/monthly/klines/BNXUSDTSETTLED/1d/BNXUSDTSETTLED-1d-2022-09.zip :: 404
BNXUSDTSETTLED,klines:missing,data/futures/um/monthly/klines/BNXUSDTSETTLED/1d/BNXUSDTSETTLED-1d-2022-11.zip :: 404
BNXUSDTSETTLED,klines:missing,data/futures/um/monthly/klines/BNXUSDTSETTLED/1d/BNXUSDTSETTLED-1d-2022-10.zip :: 404
BNXUSDTSETTLED,klines:missing,data/futures/um/monthly/klines/BNXUSDTSETTLED/1d/BNXUSDTSETTLED-1d-2022-12.zip :: 404
BNXUSDTSETTLED,klines:missing,data/futures/um/monthly/klines/BNXUSDTSETTLED/1d/BNXUSDTSETTLED-1d-2023-01.zip :: 404
TLMUSDTSETTLED,klines:missing,data/futures/um/monthly/klines/TLMUSDTSETTLED/1d/TLMUSDTSETTLED-1d-2022-03.zip :: 404
TLMUSDTSETTLED,klines:missing,data/futures/um/monthly/klines/TLMUSDTSETTLED/1d/TLMUSDTSETTLED-1d-2022-09.zip :: 404
TLMUSDTSETTLED,klines:missing,data/futures/um/monthly/klines/TLMUSDTSETTLED/1d/TLMUSDTSETTLED-1d-2022-10.zip :: 404
TLMUSDTSETTLED,klines:missing,data/futures/um/monthly/klines/TLMUSDTSETTLED/1d/TLMUSDTSETTLED-1d-2022-11.zip :: 404
TLMUSDTSETTLED,klines:missing,data/futures/um/monthly/klines/TLMUSDTSETTLED/1d/TLMUSDTSETTLED-1d-2022-12.zip :: 404
TLMUSDTSETTLED,klines:missing,data/futures/um/monthly/klines/TLMUSDTSETTLED/1d/TLMUSDTSETTLED-1d-2023-01.zip :: 404
币安人生USDT,klines:error,data/futures/um/monthly/klines/币安人生USDT/1d/币安人生USDT-1d-2025-10.zip :: GET failed after 5 tries: https://data.binance.vision/data/futures/um/monthly/klines/币安人生USDT/1d/币安人生USDT-1d-2025-10.zip :: 'ascii' codec can't encode characters in position 36-39: ordinal not in range(128)
币安人生USDT,klines:error,data/futures/um/monthly/klines/币安人生USDT/1d/币安人生USDT-1d-2025-11.zip :: GET failed after 5 tries: https://data.binance.vision/data/futures/um/monthly/klines/币安人生USDT/1d/币安人生USDT-1d-2025-11.zip :: 'ascii' codec can't encode characters in position 36-39: ordinal not in range(128)
币安人生USDT,klines:error,data/futures/um/monthly/klines/币安人生USDT/1d/币安人生USDT-1d-2025-12.zip :: GET failed after 5 tries: https://data.binance.vision/data/futures/um/monthly/klines/币安人生USDT/1d/币安人生USDT-1d-2025-12.zip :: 'ascii' codec can't encode characters in position 36-39: ordinal not in range(128)
币安人生USDT,klines:error,data/futures/um/monthly/klines/币安人生USDT/1d/币安人生USDT-1d-2026-01.zip :: GET failed after 5 tries: https://data.binance.vision/data/futures/um/monthly/klines/币安人生USDT/1d/币安人生USDT-1d-2026-01.zip :: 'ascii' codec can't encode characters in position 36-39: ordinal not in range(128)
