symbol,baseAsset,quoteAsset,contractType,underlyingType,underlyingSubType,status,onboardDate
0GUSDT,0G,USDT,PERPETUAL,COIN,Layer-1,TRADING,2025-09-17
1000000BOBUSDT,1000000BOB,USDT,PERPETUAL,COIN,Meme,TRADING,2025-06-05
1000000MOGUSDT,1000000MOG,USDT,PERPETUAL,COIN,Meme,TRADING,2024-11-07
1000BONKUSDC,1000BONK,USDC,PERPETUAL,COIN,USDC,TRADING,2024-05-02
1000BONKUSDT,1000BONK,USDT,PERPETUAL,COIN,Meme,TRADING,2023-11-22
1000CATUSDT,1000CAT,USDT,PERPETUAL,COIN,Meme,TRADING,2024-10-21
1000CHEEMSUSDT,1000CHEEMS,USDT,PERPETUAL,COIN,Meme,TRADING,2024-11-25
1000FLOKIUSDT,1000FLOKI,USDT,PERPETUAL,COIN,Meme,TRADING,2023-05-06
1000LUNCUSDT,1000LUNC,USDT,PERPETUAL,COIN,DeFi,TRADING,2022-09-08
1000PEPEUSDC,1000PEPE,USDC,PERPETUAL,COIN,USDC,TRADING,2024-03-07
1000PEPEUSDT,1000PEPE,USDT,PERPETUAL,COIN,Meme,TRADING,2023-05-05
1000RATSUSDT,1000RATS,USDT,PERPETUAL,COIN,Meme,TRADING,2023-12-15
1000SATSUSDT,1000SATS,USDT,PERPETUAL,COIN,Meme,TRADING,2023-12-12
1000SHIBUSDC,1000SHIB,USDC,PERPETUAL,COIN,USDC,TRADING,2024-03-28
1000SHIBUSDT,1000SHIB,USDT,PERPETUAL,COIN,Meme,TRADING,2021-05-10
1000WHYUSDT,1000WHY,USDT,PERPETUAL,COIN,Meme,SETTLING,2024-11-25
1000XECUSDT,1000XEC,USDT,PERPETUAL,COIN,Payment,TRADING,2021-09-16
1000XUSDT,1000X,USDT,PERPETUAL,COIN,AI,SETTLING,2024-11-13
1INCHUSDT,1INCH,USDT,PERPETUAL,COIN,DeFi,TRADING,2020-12-25
1MBABYDOGEUSDT,1MBABYDOGE,USDT,PERPETUAL,COIN,Meme,TRADING,2024-09-16
2ZUSDT,2Z,USDT,PERPETUAL,COIN,Infrastructure,TRADING,2025-10-02
42USDT,42,USDT,PERPETUAL,COIN,Alpha,SETTLING,2025-10-27
4USDT,4,USDT,PERPETUAL,COIN,Alpha,TRADING,2025-10-08
A2ZUSDT,A2Z,USDT,PERPETUAL,COIN,Gaming,SETTLING,2025-07-30
AAOIUSDT,AAOI,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADING,2026-06-08
AAPLUSDT,AAPL,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADING,2026-04-06
AAVEUSDC,AAVE,USDC,PERPETUAL,COIN,USDC,TRADING,2025-06-16
AAVEUSDT,AAVE,USDT,PERPETUAL,COIN,DeFi,TRADING,2020-10-16
ACEUSDT,ACE,USDT,PERPETUAL,COIN,Gaming,TRADING,2023-12-18
ACHUSDT,ACH,USDT,PERPETUAL,COIN,Payment,TRADING,2023-02-21
ACTUSDT,ACT,USDT,PERPETUAL,COIN,AI,TRADING,2024-11-11
ACUUSDT,ACU,USDT,PERPETUAL,COIN,Alpha,TRADING,2026-01-21
ACXUSDT,ACX,USDT,PERPETUAL,COIN,DeFi,SETTLING,2024-12-06
ADAUSDC,ADA,USDC,PERPETUAL,COIN,USDC,TRADING,2025-03-06
ADAUSDT,ADA,USDT,PERPETUAL,COIN,Layer-1,TRADING,2020-01-31
ADBEUSDT,ADBE,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADING,2026-06-11
AEROUSDT,AERO,USDT,PERPETUAL,COIN,DeFi,TRADING,2024-12-04
AEVOUSDT,AEVO,USDT,PERPETUAL,COIN,DeFi,TRADING,2024-03-13
AGIXUSDT,AGIX,USDT,PERPETUAL,COIN,AI,SETTLING,2023-02-15
AGLDUSDT,AGLD,USDT,PERPETUAL,COIN,Gaming,TRADING,2023-07-29
AGTUSDT,AGT,USDT,PERPETUAL,COIN,AI,TRADING,2025-05-20
AI16ZUSDT,AI16Z,USDT,PERPETUAL,COIN,AI,SETTLING,2025-01-02
AIAUSDT,AIA,USDT,PERPETUAL,COIN,Alpha,TRADING,2026-01-20
AIGENSYNUSDT,AIGENSYN,USDT,PERPETUAL,COIN,AI,TRADING,2026-04-29
AINUSDT,AIN,USDT,PERPETUAL,COIN,AI,TRADING,2025-07-10
AIOTUSDT,AIOT,USDT,PERPETUAL,COIN,AI,TRADING,2025-04-30
AIOUSDT,AIO,USDT,PERPETUAL,COIN,Alpha,TRADING,2025-08-13
AIUSDT,AI,USDT,PERPETUAL,COIN,AI,SETTLING,2024-01-08
AIXBTUSDT,AIXBT,USDT,PERPETUAL,COIN,AI,TRADING,2024-12-20
AKEUSDT,AKE,USDT,PERPETUAL,COIN,Alpha,TRADING,2025-09-26
AKTUSDT,AKT,USDT,PERPETUAL,COIN,AI,TRADING,2024-11-18
ALABUSDT,ALAB,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADING,2026-06-22
ALCHUSDT,ALCH,USDT,PERPETUAL,COIN,AI,TRADING,2025-01-07
ALGOUSDT,ALGO,USDT,PERPETUAL,COIN,Layer-1,TRADING,2020-06-16
ALICEUSDT,ALICE,USDT,PERPETUAL,COIN,Metaverse,TRADING,2021-03-15
ALLOUSDT,ALLO,USDT,PERPETUAL,COIN,AI,TRADING,2025-11-11
ALLUSDT,ALL,USDT,PERPETUAL,INDEX,Index,TRADING,2025-08-06
ALPACAUSDT,ALPACA,USDT,PERPETUAL,COIN,DeFi,SETTLING,2024-08-22
ALPHAUSDT,ALPHA,USDT,PERPETUAL,COIN,DeFi,SETTLING,2020-11-23
ALPINEUSDT,ALPINE,USDT,PERPETUAL,COIN,,TRADING,2025-05-06
ALTUSDT,ALT,USDT,PERPETUAL,COIN,Infrastructure,TRADING,2024-01-25
AMATUSDT,AMAT,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADING,2026-06-08
AMBUSDT,AMB,USDT,PERPETUAL,COIN,Layer-1,SETTLING,2023-03-29
AMDUSDT,AMD,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADING,2026-05-06
AMZNUSDT,AMZN,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADING,2026-02-09
ANIMEUSDT,ANIME,USDT,PERPETUAL,COIN,NFT,TRADING,2025-01-23
ANKRUSDT,ANKR,USDT,PERPETUAL,COIN,DeFi,TRADING,2021-01-25
ANTHROPICUSDT,ANTHROPIC,USDT,TRADIFI_PERPETUAL,PREMARKET,Pre-IPO|TradFi,TRADING,2026-06-02
APEUSDT,APE,USDT,PERPETUAL,COIN,NFT,TRADING,2022-03-17
API3USDT,API3,USDT,PERPETUAL,COIN,Infrastructure,TRADING,2022-02-21
APPUSDT,APP,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADING,2026-07-10
APRUSDT,APR,USDT,PERPETUAL,COIN,Alpha,TRADING,2025-10-23
APTUSDT,APT,USDT,PERPETUAL,COIN,Layer-1,TRADING,2022-10-18
ARBUSDC,ARB,USDC,PERPETUAL,COIN,USDC,TRADING,2024-04-18
ARBUSDT,ARB,USDT,PERPETUAL,COIN,Layer-2,TRADING,2023-03-23
ARCUSDT,ARC,USDT,PERPETUAL,COIN,AI,TRADING,2025-01-17
ARIAUSDT,ARIA,USDT,PERPETUAL,COIN,Alpha,TRADING,2025-09-03
ARKMUSDT,ARKM,USDT,PERPETUAL,COIN,Infrastructure,TRADING,2023-07-28
ARKUSDT,ARK,USDT,PERPETUAL,COIN,Layer-1,TRADING,2023-09-19
