symbol,first_month,last_month,n_months,n_gaps
0GUSDT,2025-09,2026-08,12,0
1000000BOBUSDT,2025-06,2026-08,15,0
1000000MOGUSDT,2024-11,2026-08,22,0
1000BONKUSDC,2024-05,2026-08,28,0
1000BONKUSDT,2023-11,2026-08,34,0
1000BTTCUSDT,2022-01,2022-04,4,0
1000CATUSDT,2024-10,2026-08,23,0
1000CHEEMSUSDT,2024-11,2026-08,22,0
1000FLOKIUSDT,2023-05,2026-08,40,0
1000LUNCBUSD,2022-05,2023-12,20,0
1000LUNCUSDT,2022-09,2026-08,48,0
1000PEPEUSDC,2024-03,2026-08,30,0
1000PEPEUSDT,2023-05,2026-08,40,0
1000RATSUSDT,2023-12,2026-08,33,0
1000SATSUSDT,2023-12,2026-08,33,0
1000SHIBBUSD,2022-07,2023-12,18,0
1000SHIBUSDC,2024-03,2026-08,30,0
1000SHIBUSDT,2021-05,2026-08,64,0
1000WHYUSDT,2024-11,2026-03,17,0
1000XECUSDT,2021-09,2026-08,60,0
1000XUSDT,2024-11,2025-11,13,0
1INCHUSDT,2020-12,2026-08,69,0
1MBABYDOGEUSDT,2024-09,2026-08,24,0
2ZUSDT,2025-10,2026-08,11,0
42USDT,2025-10,2026-01,4,0
4USDT,2025-10,2026-08,11,0
A2ZUSDT,2025-07,2026-03,9,0
AAOIUSDT,2026-06,2026-08,3,0
AAPLUSDT,2026-04,2026-08,5,0
AAVEUSDC,2025-06,2026-08,15,0
AAVEUSDT,2020-10,2026-08,71,0
ACEUSDT,2023-12,2026-08,33,0
ACHUSDT,2023-02,2026-08,43,0
ACTUSDT,2024-11,2026-08,22,0
ACUUSDT,2026-01,2026-08,8,0
ACXUSDT,2024-12,2026-08,21,0
ADABUSD,2021-08,2023-12,29,0
ADAUSDC,2025-03,2026-08,18,0
ADAUSDT,2020-01,2026-08,80,0
ADBEUSDT,2026-06,2026-08,3,0
AERGOUSDT,2024-09,2026-06,22,0
AEROUSDT,2024-12,2026-08,21,0
AEVOUSDT,2024-03,2026-08,30,0
AGIXBUSD,2023-01,2023-12,12,0
AGIXUSDT,2023-02,2025-06,29,0
AGLDUSDT,2023-07,2026-08,38,0
AGTUSDT,2025-05,2026-08,16,0
AI16ZUSDT,2025-01,2025-11,11,0
AIAUSDT,2025-09,2026-08,12,0
AIGENSYNUSDT,2026-04,2026-08,5,0
AINUSDT,2025-07,2026-08,14,0
AIOTUSDT,2025-04,2026-08,17,0
AIOUSDT,2025-08,2026-08,13,0
AIUSDT,2024-01,2026-04,28,0
AIXBTUSDT,2024-12,2026-08,21,0
AKEUSDT,2025-09,2026-08,12,0
AKROUSDT,2021-01,2022-05,17,0
AKTUSDT,2024-11,2026-08,22,0
ALABUSDT,2026-06,2026-08,3,0
ALCHUSDT,2025-01,2026-08,20,0
ALGOUSDT,2020-06,2026-08,75,0
ALICEUSDT,2021-03,2026-08,66,0
ALLOUSDT,2025-11,2026-08,10,0
ALLUSDT,2025-08,2026-08,13,0
ALPACAUSDT,2024-08,2025-06,11,0
ALPHAUSDT,2020-11,2025-09,59,0
ALPINEUSDT,2025-05,2026-08,16,0
ALTUSDT,2024-01,2026-08,32,0
AMATUSDT,2026-06,2026-08,3,0
AMBBUSD,2022-09,2023-12,16,0
AMBUSDT,2023-03,2025-06,28,0
AMDUSDT,2026-05,2026-08,4,0
AMZNUSDT,2026-02,2026-08,7,0
ANCBUSD,2022-05,2023-12,20,0
ANCUSDT,2022-03,2022-05,3,0
ANIMEUSDT,2025-01,2026-08,20,0
ANKRUSDT,2021-01,2026-08,68,0
ANTHROPICUSDT,2026-06,2026-08,3,0
ANTUSDT,2021-12,2024-07,32,0
APEBUSD,2022-05,2023-12,20,0
APEUSDT,2022-03,2026-08,54,0
API3USDT,2022-02,2026-08,55,0
APPUSDT,2026-07,2026-08,2,0
APRUSDT,2025-10,2026-08,11,0
APTBUSD,2022-10,2023-12,15,0
APTUSDT,2022-10,2026-08,47,0
ARBUSDC,2024-04,2026-08,29,0
ARBUSDT,2023-03,2026-08,42,0
ARCUSDT,2025-01,2026-08,20,0
ARIAUSDT,2025-09,2026-08,12,0
ARKMUSDT,2023-07,2026-08,38,0
ARKUSDT,2023-09,2026-08,36,0
ARMUSDT,2026-05,2026-08,4,0
ARPAUSDT,2021-10,2026-08,59,0
ARUSDT,2021-09,2026-08,60,0
ARXUSDT,2026-06,2026-08,3,0
ASMLUSDT,2026-06,2026-08,3,0
ASRUSDT,2025-05,2026-08,16,0
ASTERUSDT,2025-09,2026-08,12,0
ASTRUSDT,2023-02,2026-08,43,0
ASTSUSDT,2026-06,2026-08,3,0
ATAUSDT,2021-08,2026-05,58,0
ATHUSDT,2025-04,2026-08,17,0
ATOMUSDT,2020-02,2026-08,79,0
ATUSDT,2025-10,2026-08,11,0
AUCTIONBUSD,2022-08,2023-12,17,0
AUCTIONUSDT,2023-12,2026-08,33,0
AUDIOUSDT,2021-08,2024-07,36,0
AUSDT,2025-05,2026-08,16,0
AVAAIUSDT,2025-01,2026-08,20,0
AVAUSDT,2024-12,2026-08,21,0
AVAXBUSD,2022-05,2023-12,20,0
AVAXUSDC,2024-03,2026-08,30,0
AVAXUSDT,2020-09,2026-08,72,0
AVGOUSDT,2026-04,2026-08,5,0
AVNTUSDT,2025-09,2026-08,12,0
AWEUSDT,2025-05,2026-08,16,0
AXLUSDT,2024-03,2026-08,30,0
AXSUSDT,2020-11,2026-08,70,0
AXTIUSDT,2026-06,2026-08,3,0
AZTECUSDT,2026-02,2026-08,7,0
B2USDT,2025-05,2026-08,16,0
B3USDT,2025-02,2026-04,15,0
BABAUSDT,2026-04,2026-08,5,0
BABYUSDT,2025-04,2026-08,17,0
BADGERUSDT,2023-11,2025-06,20,0
BAKEUSDT,2021-05,2025-10,54,0
BALUSDT,2020-09,2025-06,58,0
BANANAS31USDT,2025-03,2026-08,18,0
BANANAUSDT,2024-08,2026-08,25,0
BANDUSDT,2020-07,2026-08,74,0
BANKUSDT,2025-04,2026-08,17,0
BANUSDT,2024-11,2026-08,22,0
BARDUSDT,2025-09,2026-08,12,0
BASEDUSDT,2026-03,2026-08,6,0
