symbol,note
1000BTTCUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
1000LUNCBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
1000SHIBBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ADABUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
AERGOUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
AERGOUSDTSETTLED,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
AERGOUSDTSETTLEDSETTLED,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
AGIXBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
AIAUSDTSETTLED,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
AKROUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
AMBBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ANCBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ANCUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ANTUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
APEBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
APTBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
AUCTIONBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
AUDIOUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
AVAXBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BDXNUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BDXNUSDTSETTLED,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BLUEBIRDUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BNBBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BNXUSDTSETTLED,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCBUSD_210129,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCBUSD_210226,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCSTUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCSTUSDTSETTLED,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_210326,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_210625,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_210924,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_211231,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_220325,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_220624,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_220930,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_221230,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_230331,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_230630,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_230929,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_231229,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_240329,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_240628,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_240927,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_241227,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_250328,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_250627,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_250926,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_251226,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_260327,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTCUSDT_260626,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTSUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BTTUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
BZRXUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
COCOSUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
CTKUSDTSETTLED,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
CVCUSDTSETTLED,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
CVXBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
CVXUSDTSETTLED,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
DODOBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
DODOUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
DOGEBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
DOTBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
DOTECOUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
EOSUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ETCBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ETHBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ETHUSDT_210326,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ETHUSDT_210625,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ETHUSDT_210924,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
